time,power,temperature
0.0,0.327993613240727,0.9800285306704709
60.0,0.3447726332575526,0.978601997146933
120.0,0.3410466095812985,0.978601997146933
180.0,0.3298916250196922,0.9800285306704709
240.0,0.33471565863899855,0.9843081312410843
300.0,0.34314299749034183,0.9871611982881598
360.0,0.32876568622953833,0.985734664764622
420.0,0.3434733462143803,0.9843081312410843
480.0,0.34181640952595704,0.9843081312410843
540.0,0.3398568824974954,0.985734664764622
600.0,0.3403890939359687,0.9900142653352355
660.0,0.345582135314052,0.992867332382311
720.0,0.3417409080610662,0.9942938659058489
780.0,0.3371264131671733,0.992867332382311
840.0,0.33570473975650705,0.9900142653352355
900.0,0.3446529399526386,0.9843081312410843
960.0,0.33756267857512556,0.9828815977175466
1020.0,0.3411424620009178,0.9828815977175466
1080.0,0.3357481510724267,0.9828815977175466
1140.0,0.3431695459292393,0.9828815977175466
1200.0,0.3374791488623121,0.9828815977175466
1260.0,0.33522727316251877,0.9843081312410843
1320.0,0.3450450825188542,0.985734664764622
1380.0,0.3428548699931401,0.985734664764622
1440.0,0.3406695679330556,0.985734664764622
1500.0,0.3252261197893738,0.985734664764622
1560.0,0.3331995009382642,0.9843081312410843
1620.0,0.34294234931167733,0.9843081312410843
1680.0,0.33245227300179425,0.9843081312410843
1740.0,0.33374518573713263,0.985734664764622
1800.0,0.3428780661938436,0.985734664764622
1860.0,0.3399641162328701,0.985734664764622
1920.0,0.3122494640932539,0.985734664764622
1980.0,0.34366566988113684,0.985734664764622
2040.0,0.3370919850963017,0.9843081312410843
2100.0,0.3314502533366612,0.9843081312410843
2160.0,0.3425958196736409,0.9843081312410843
2220.0,0.33728187651123587,0.9843081312410843
2280.0,0.33422723791022946,0.9843081312410843
2340.0,0.33406509066481893,0.9828815977175466
2400.0,0.3318954747498571,0.9828815977175466
2460.0,0.3401518733745539,0.9828815977175466
2520.0,0.3392691377812111,0.9843081312410843
2580.0,0.3402812970141793,0.985734664764622
2640.0,0.3320794886722748,0.9900142653352355
2700.0,0.344086020163681,0.992867332382311
2760.0,0.3471057800617202,0.992867332382311
2820.0,0.33778740303524296,0.9900142653352355
2880.0,0.33002364393514766,0.9871611982881598
2940.0,0.33660765678173415,0.9828815977175466
3000.0,0.3411057519257953,0.9814550641940086
3060.0,0.6959711973459874,0.9814550641940086
3120.0,0.33752825227414995,0.9814550641940086
3180.0,0.3428780661938436,0.9828815977175466
3240.0,0.3284279721389109,0.985734664764622
3300.0,0.33272826614783313,0.9900142653352355
3360.0,0.3437364657181969,0.9885877318116976
3420.0,0.34636144261418983,0.9843081312410843
3480.0,0.34058041799869143,0.9828815977175466
3540.0,0.3325982894157306,0.9828815977175466
3600.0,0.3340336098854844,0.9814550641940086
3660.0,0.339789044709621,0.9814550641940086
3720.0,0.33695032483871445,0.9814550641940086
3780.0,0.33032176078026776,0.9814550641940086
3840.0,0.3434123535266563,0.9843081312410843
3900.0,0.32538033508026204,0.9900142653352355
3960.0,0.33288589750378716,0.9914407988587732
4020.0,0.3471684045381792,0.9914407988587732
4080.0,0.32405577610797454,0.9900142653352355
4140.0,0.3368521236565822,0.9900142653352355
4200.0,0.3382235670336895,0.9871611982881598
4260.0,0.3456811388674407,0.9814550641940086
4320.0,0.3419510832023383,0.978601997146933
4380.0,0.3452207512990146,0.9800285306704709
4440.0,0.34878424756174403,0.9843081312410843
4500.0,0.3470719183851997,0.9885877318116976
4560.0,0.34369894801743944,0.9914407988587732
4620.0,0.3271522637875446,0.9900142653352355
4680.0,0.33947654746009803,0.9885877318116976
4740.0,0.3436208693904973,0.9828815977175466
4800.0,0.3324138283456998,0.9814550641940086
4860.0,0.32397320224958,0.9800285306704709
4920.0,0.34545547713681174,0.9814550641940086
4980.0,0.3372051271590984,0.9828815977175466
5040.0,0.3426984189088774,0.9843081312410843
5100.0,0.33169177084587553,0.9885877318116976
5160.0,0.3412325015845313,0.9914407988587732
5220.0,0.34433214631596015,0.9914407988587732
5280.0,0.33835321663924645,0.9900142653352355
5340.0,0.6634229349844074,0.9900142653352355
5400.0,0.3478654370093701,0.985734664764622
5460.0,0.3473243766167022,0.9814550641940086
5520.0,0.3451253717181539,0.9800285306704709
5580.0,0.341842123984363,0.9800285306704709
5640.0,0.3320861257819992,0.9814550641940086
5700.0,0.3286857132332077,0.9828815977175466
5760.0,0.3484598754720485,0.9828815977175466
5820.0,0.3375490201776422,0.9828815977175466
